symbol,symbolName,lastPrice,percentChange,percentChange5d,percentChange1m,percentChange1y,opinion,tradeTime,symbolCode,hasOptions,symbolType,raw.symbol,raw.symbolName,raw.lastPrice,raw.percentChange,raw.percentChange5d,raw.percentChange1m,raw.percentChange1y,raw.opinion,raw.tradeTime,raw.symbolCode,raw.hasOptions,raw.symbolType
$DUSA,Dow Jones U.S. Index,"1,569.06",-0.45%,-0.07%,+0.79%,+14.57%,100% Buy,08/25/25,INDEX,No,9,$DUSA,Dow Jones U.S. Index,1569.06,-0.0044540886249429,-0.0007,0.0079,0.1457,100,1756156027,INDEX,False,9
$DUSL,U.S. Large-Cap Index,"1,448.12",-0.33%,-0.36%,+1.27%,+15.26%,100% Buy,08/25/25,INDEX,No,9,$DUSL,U.S. Large-Cap Index,1448.12,-0.0032556698902158,-0.0036,0.0127,0.1526,100,1756156027,INDEX,False,9
$DUSM,U.S. Mid-Cap Index,"2,053.39",-0.76%,+0.47%,-0.89%,+14.74%,100% Buy,08/25/25,INDEX,No,9,$DUSM,U.S. Mid-Cap Index,2053.39,-0.007640634061473,0.0047,-0.0089,0.1474,100,1756156027,INDEX,False,9
$DUSS,U.S. Small-Cap Index,"1,735.10",-0.74%,+1.10%,+0.52%,+9.20%,88% Buy,08/25/25,INDEX,No,9,$DUSS,U.S. Small-Cap Index,1735.1,-0.0073514688635259,0.011,0.0052,0.092,88,1756156027,INDEX,False,9
$DSLW,U.S. Low-Cap Index,"1,934.38",-0.75%,+0.68%,-0.42%,+12.84%,100% Buy,08/25/25,INDEX,No,9,$DSLW,U.S. Low-Cap Index,1934.38,-0.0075420198247377,0.0068,-0.0042,0.1284,100,1756156027,INDEX,False,9
$DSTP,U.S. Top-Cap Index,"1,582.97",-0.42%,-0.19%,+0.82%,+15.15%,100% Buy,08/25/25,INDEX,No,9,$DSTP,U.S. Top-Cap Index,1582.97,-0.0041583311314938,-0.0019,0.0082,0.1515,100,1756156027,INDEX,False,9
$DSBM,U.S. Basic Materials Index,594.19,-0.59%,+2.06%,+0.40%,+0.28%,88% Buy,08/25/25,INDEX,No,9,$DSBM,U.S. Basic Materials Index,594.19,-0.0059224064376892,0.0206,0.004,0.0028,88,1756156027,INDEX,False,9
$DSNC,U.S. Consumer Goods Index,988.15,-0.36%,+1.39%,+3.67%,+9.61%,88% Buy,08/25/25,INDEX,No,9,$DSNC,U.S. Consumer Goods Index,988.15,-0.003619900377115,0.0139,0.0367,0.0961,88,1756156027,INDEX,False,9
$DSCY,U.S. Consumer Services Index,"2,077.26",-0.64%,-0.54%,+0.55%,+22.15%,100% Buy,08/25/25,INDEX,No,9,$DSCY,U.S. Consumer Services Index,2077.26,-0.0063856960408684,-0.0054,0.0055,0.2215,100,1756156027,INDEX,False,9
$DSFN,U.S. Financials Index,"1,122.64",-0.56%,+1.62%,-0.15%,+18.10%,100% Buy,08/25/25,INDEX,No,9,$DSFN,U.S. Financials Index,1122.64,-0.0055628388194026,0.0162,-0.0015,0.181,100,1756156027,INDEX,False,9
$DSHC,U.S. Health Care Index,"1,448.95",-1.46%,+0.26%,+0.37%,-11.82%,40% Sell,08/25/25,INDEX,No,9,$DSHC,U.S. Health Care Index,1448.95,-0.014554357805964,0.0026,0.0037,-0.1182,-40,1756156027,INDEX,False,9
$DSIN,U.S. Industrials Index,"1,406.77",-0.88%,+0.55%,-2.15%,+13.58%,100% Buy,08/25/25,INDEX,No,9,$DSIN,U.S. Industrials Index,1406.77,-0.008786392717229,0.0055,-0.0215,0.1358,100,1756156027,INDEX,False,9
$DSTL,U.S. Telecommunications Index,192.76,-0.23%,-0.70%,+2.78%,+25.06%,88% Buy,08/25/25,INDEX,No,9,$DSTL,U.S. Telecommunications Index,192.76,-0.0023290719942033,-0.007,0.0278,0.2506,88,1756156027,INDEX,False,9
$DSUT,U.S. Utilities Index,421.93,-1.14%,-0.22%,+0.35%,+13.30%,80% Buy,08/25/25,INDEX,No,9,$DSUT,U.S. Utilities Index,421.93,-0.011410496719775,-0.0022,0.0035,0.133,80,1756156027,INDEX,False,9
$DSAP,U.S. Automobiles & Parts Index,"1,327.74",+1.64%,+3.42%,+9.02%,+45.04%,72% Buy,08/25/25,INDEX,No,9,$DSAP,U.S. Automobiles & Parts Index,1327.74,0.016436111982974,0.0342,0.0902,0.4504,72,1756156027,INDEX,False,9
$DSBK,U.S. Banks Index,753.40,-0.16%,+2.40%,-0.35%,+28.02%,100% Buy,08/25/25,INDEX,No,9,$DSBK,U.S. Banks Index,753.4,-0.0015902464882057,0.024,-0.0035,0.2802,100,1756156027,INDEX,False,9
$DSBS,U.S. Basic Resources Index,416.82,+0.40%,+3.49%,+3.37%,+15.58%,100% Buy,08/25/25,INDEX,No,9,$DSBS,U.S. Basic Resources Index,416.82,0.0039984584256671,0.0349,0.0337,0.1558,100,1756156027,INDEX,False,9
$DSCH,U.S. Chemicals Index,854.80,-1.02%,+1.46%,-0.84%,-5.44%,56% Buy,08/25/25,INDEX,No,9,$DSCH,U.S. Chemicals Index,854.8,-0.01017844115842,0.0146,-0.0084,-0.0544,56,1756156027,INDEX,False,9
$DSCN,U.S. Construction & Materials Index,"2,056.88",-1.01%,+0.38%,-1.85%,+13.91%,100% Buy,08/25/25,INDEX,No,9,$DSCN,U.S. Construction & Materials Index,2056.88,-0.010101690673622,0.0038,-0.0185,0.1391,100,1756156027,INDEX,False,9
$DSFI,U.S. Financial Services Index,"2,475.41",-0.56%,+1.00%,-0.15%,+25.78%,100% Buy,08/25/25,INDEX,No,9,$DSFI,U.S. Financial Services Index,2475.41,-0.0056078445550481,0.01,-0.0015,0.2578,100,1756156027,INDEX,False,9
$DSFB,U.S. Food & Beverage Index,714.53,-1.80%,-0.26%,-0.42%,-9.74%,24% Buy,08/25/25,INDEX,No,9,$DSFB,U.S. Food & Beverage Index,714.53,-0.018044141494654,-0.0026,-0.0042,-0.0974,24,1756156027,INDEX,False,9
$DSIG,U.S. Industrial Goods & Services Index,"1,449.46",-0.86%,+0.57%,-2.19%,+13.53%,100% Buy,08/25/25,INDEX,No,9,$DSIG,U.S. Industrial Goods & Services Index,1449.46,-0.0086044157478591,0.0057,-0.0219,0.1353,100,1756156027,INDEX,False,9
$DSIR,U.S. Insurance Index,"1,351.43",-1.25%,+1.20%,+0.85%,+4.15%,56% Sell,08/25/25,INDEX,No,9,$DSIR,U.S. Insurance Index,1351.43,-0.012509590442439,0.012,0.0085,0.0415,-56,1756156027,INDEX,False,9
$DSME,U.S. Media Index,840.85,-0.66%,+1.41%,-3.50%,+6.24%,24% Buy,08/25/25,INDEX,No,9,$DSME,U.S. Media Index,840.85,-0.0065571833648393,0.0141,-0.035,0.0624,24,1756156027,INDEX,False,9
$DSEN,U.S. Oil & Gas Index,739.90,+0.29%,+3.57%,+1.04%,-1.25%,32% Buy,08/25/25,INDEX,No,9,$DSEN,U.S. Oil & Gas Index,739.9,0.0029278607639547,0.0357,0.0104,-0.0125,32,1756156027,INDEX,False,9
$DSNG,U.S. Personal & Household Goods Index,"1,068.55",-0.95%,+0.91%,+2.44%,+4.11%,100% Buy,08/25/25,INDEX,No,9,$DSNG,U.S. Personal & Household Goods Index,1068.55,-0.0095104791390514,0.0091,0.0244,0.0411,100,1756156027,INDEX,False,9
$DSRE,U.S. Real Estate Index,369.31,-0.53%,+2.91%,-0.73%,-2.63%,32% Buy,08/25/25,INDEX,No,9,$DSRE,U.S. Real Estate Index,369.31,-0.005332758759999,0.0291,-0.0073,-0.0263,32,1756156027,INDEX,False,9
$DSRT,U.S. Retail Index,"3,155.52",-0.55%,-1.20%,+1.16%,+23.58%,100% Buy,08/25/25,INDEX,No,9,$DSRT,U.S. Retail Index,3155.52,-0.0055246529364492,-0.012,0.0116,0.2358,100,1756156027,INDEX,False,9
$DSTC,U.S. Technology Index,"7,940.91",unch,-1.42%,+1.78%,+22.52%,88% Buy,08/25/25,INDEX,No,9,$DSTC,U.S. Technology Index,7940.91,3.7780472784859e-05,-0.0142,0.0178,0.2252,88,1756156027,INDEX,False,9
$DSAE,U.S. Aerospace & Defense Index,"2,700.88",-0.36%,-0.37%,-1.64%,+28.16%,80% Buy,08/25/25,INDEX,No,9,$DSAE,U.S. Aerospace & Defense Index,2700.88,-0.0036484098614046,-0.0037,-0.0164,0.2816,80,1756156027,INDEX,False,9
$DSBV,U.S. Beverages Index,954.87,-2.19%,-1.45%,+0.66%,-7.60%,40% Buy,08/25/25,INDEX,No,9,$DSBV,U.S. Beverages Index,954.87,-0.021930183963617,-0.0145,0.0066,-0.076,40,1756156027,INDEX,False,9
$DSEE,U.S. Electronic & Electrical Equipment Index,"1,108.92",-0.35%,-0.91%,-2.39%,+43.18%,80% Buy,08/25/25,INDEX,No,9,$DSEE,U.S. Electronic & Electrical Equipment Index,1108.92,-0.0035493813293555,-0.0091,-0.0239,0.4318,80,1756156027,INDEX,False,9
$DSGF,U.S. Financial Services Index,"2,774.62",-0.56%,+1.00%,-0.15%,+25.78%,100% Buy,08/25/25,INDEX,No,9,$DSGF,U.S. Financial Services Index,2774.62,-0.0056087762116211,0.01,-0.0015,0.2578,100,1756156027,INDEX,False,9
$DSDR,U.S. Food & Drug Retailers Index,"1,543.52",-0.75%,-0.38%,-3.18%,+23.56%,40% Buy,08/25/25,INDEX,No,9,$DSDR,U.S. Food & Drug Retailers Index,1543.52,-0.00749752440232,-0.0038,-0.0318,0.2356,40,1756156027,INDEX,False,9
$DSFO,U.S. Food Producers Index,385.67,-1.06%,+2.06%,-2.38%,-13.46%,56% Sell,08/25/25,INDEX,No,9,$DSFO,U.S. Food Producers Index,385.67,-0.010645939151403,0.0206,-0.0238,-0.1346,-56,1756156027,INDEX,False,9
$DSUO,U.S. Gas Water & Multiutilities Index,391.62,-1.48%,+0.42%,+0.01%,+10.75%,88% Buy,08/25/25,INDEX,No,9,$DSUO,U.S. Gas Water & Multiutilities Index,391.62,-0.014767667111122,0.0042,0.0001,0.1075,88,1756156027,INDEX,False,9
$DSGI,U.S. General Industrials Index,735.19,-1.03%,+2.67%,-2.89%,+3.49%,24% Buy,08/25/25,INDEX,No,9,$DSGI,U.S. General Industrials Index,735.19,-0.010271667429525,0.0267,-0.0289,0.0349,24,1756156027,INDEX,False,9
$DSGT,U.S. General Retailers Index,"3,520.70",-0.54%,-1.24%,+1.40%,+23.56%,100% Buy,08/25/25,INDEX,No,9,$DSGT,U.S. General Retailers Index,3520.7,-0.0054238820305659,-0.0124,0.014,0.2356,100,1756156027,INDEX,False,9
$DSMC,U.S. Health Care Equipment & Services Index,"2,254.24",-1.11%,+0.67%,+2.96%,-9.81%,56% Sell,08/25/25,INDEX,No,9,$DSMC,U.S. Health Care Equipment & Services Index,2254.24,-0.011146447919637,0.0067,0.0296,-0.0981,-56,1756156027,INDEX,False,9
$DSHG,U.S. Household Goods & Home Construction Index,"1,077.17",-1.46%,+0.68%,+1.45%,-9.45%,8% Buy,08/25/25,INDEX,No,9,$DSHG,U.S. Household Goods & Home Construction Index,1077.17,-0.014582246983378,0.0068,0.0145,-0.0945,8,1756156027,INDEX,False,9
$DSIQ,U.S. Industrial Engineering Index,"4,434.77",-0.93%,+1.92%,-0.29%,+13.53%,88% Buy,08/25/25,INDEX,No,9,$DSIQ,U.S. Industrial Engineering Index,4434.77,-0.0093043101406927,0.0192,-0.0029,0.1353,88,1756156027,INDEX,False,9
$DSIM,U.S. Industrial Metals & Mining Index,517.85,+0.66%,+4.25%,-0.54%,+3.13%,64% Buy,08/25/25,INDEX,No,9,$DSIM,U.S. Industrial Metals & Mining Index,517.85,0.0066089999028088,0.0425,-0.0054,0.0313,64,1756156027,INDEX,False,9
$DSIT,U.S. Industrial Transportation Index,"1,434.55",-2.31%,+0.10%,-4.55%,-11.81%,32% Sell,08/25/25,INDEX,No,9,$DSIT,U.S. Industrial Transportation Index,1434.55,-0.023058954924034,0.001,-0.0455,-0.1181,-32,1756156027,INDEX,False,9
$DSLE,U.S. Leisure Goods Index,"1,129.63",+2.50%,+2.14%,+6.05%,+45.44%,100% Buy,08/25/25,INDEX,No,9,$DSLE,U.S. Leisure Goods Index,1129.63,0.02499818524971,0.0214,0.0605,0.4544,100,1756156027,INDEX,False,9
$DSMG,U.S. Mining Index,161.63,+0.09%,+2.57%,+8.65%,+41.04%,100% Buy,08/25/25,INDEX,No,9,$DSMG,U.S. Mining Index,161.63,0.00092890760465696,0.0257,0.0865,0.4104,100,1756156027,INDEX,False,9
$DSIX,U.S. Nonlife Insurance Index,"1,340.34",-1.32%,+0.96%,+0.60%,+4.09%,40% Sell,08/25/25,INDEX,No,9,$DSIX,U.S. Nonlife Insurance Index,1340.34,-0.013229675110984,0.0096,0.006,0.0409,-40,1756156027,INDEX,False,9
$DSOG,U.S. Oil & Gas Producers Index,844.66,+0.49%,+4.02%,+1.75%,-2.49%,48% Buy,08/25/25,INDEX,No,9,$DSOG,U.S. Oil & Gas Producers Index,844.66,0.004853791429727,0.0402,0.0175,-0.0249,48,1756156027,INDEX,False,9
$DSOQ,U.S. Oil Equipment Services & Distribution Inde,452.95,-0.25%,+2.82%,-1.55%,+4.19%,40% Sell,08/25/25,INDEX,No,9,$DSOQ,U.S. Oil Equipment Services & Distribution Inde,452.95,-0.0025105155365676,0.0282,-0.0155,0.0419,-40,1756156027,INDEX,False,9
$DSPG,U.S. Personal Goods Index,553.41,-0.34%,+0.84%,-2.40%,-7.20%,40% Buy,08/25/25,INDEX,No,9,$DSPG,U.S. Personal Goods Index,553.41,-0.0034035656401945,0.0084,-0.024,-0.072,40,1756156027,INDEX,False,9
$DSPN,U.S. Pharmaceuticals & Biotechnology Index,"1,100.34",-1.69%,-0.02%,-1.34%,-13.15%,40% Buy,08/25/25,INDEX,No,9,$DSPN,U.S. Pharmaceuticals & Biotechnology Index,1100.34,-0.016868890834689,-0.0002,-0.0134,-0.1315,40,1756156027,INDEX,False,9
$DSRH,U.S. Real Estate Investment & Services Index,803.11,-0.15%,+3.60%,+6.41%,+30.29%,100% Buy,08/25/25,INDEX,No,9,$DSRH,U.S. Real Estate Investment & Services Index,803.11,-0.00147954743255,0.036,0.0641,0.3029,100,1756156027,INDEX,False,9
$DSRI,U.S. Real Estate Investment Trusts Index,147.83,-0.57%,+2.85%,-1.38%,-5.01%,Hold,08/25/25,INDEX,No,9,$DSRI,U.S. Real Estate Investment Trusts Index,147.83,-0.0056500975314453,0.0285,-0.0138,-0.0501,0,1756156027,INDEX,False,9
$DSSV,U.S. Software & Computer Services Index,"7,962.84",-0.25%,-1.44%,-0.45%,+25.41%,72% Buy,08/25/25,INDEX,No,9,$DSSV,U.S. Software & Computer Services Index,7962.84,-0.0025253664036076,-0.0144,-0.0045,0.2541,72,1756156027,INDEX,False,9
$DSIS,U.S. Support Services Index,875.32,-1.06%,+1.16%,-2.80%,+1.35%,56% Sell,08/25/25,INDEX,No,9,$DSIS,U.S. Support Services Index,875.32,-0.010591280561553,0.0116,-0.028,0.0135,-56,1756156027,INDEX,False,9
$DSTQ,U.S. Technology Hardware & Equipment Index,"8,882.55",+0.24%,-1.40%,+3.95%,+19.89%,100% Buy,08/25/25,INDEX,No,9,$DSTQ,U.S. Technology Hardware & Equipment Index,8882.55,0.0024387931754417,-0.014,0.0395,0.1989,100,1756156027,INDEX,False,9
$DSCG,U.S. Travel & Leisure Index,"2,020.42",-0.91%,+0.87%,+0.21%,+24.72%,100% Buy,08/25/25,INDEX,No,9,$DSCG,U.S. Travel & Leisure Index,2020.42,-0.0090539904261163,0.0087,0.0021,0.2472,100,1756156027,INDEX,False,9
$DSAS,U.S. Aerospace Index,"2,889.11",-0.46%,-0.70%,-3.66%,+37.65%,80% Buy,08/25/25,INDEX,No,9,$DSAS,U.S. Aerospace Index,2889.11,-0.0046098350037381,-0.007,-0.0366,0.3765,80,1756156027,INDEX,False,9
$DSAR,U.S. Airlines Index,232.66,-1.56%,-0.38%,+6.47%,+61.38%,88% Buy,08/25/25,INDEX,No,9,$DSAR,U.S. Airlines Index,232.66,-0.015612439179183,-0.0038,0.0647,0.6138,88,1756156027,INDEX,False,9
$DSAL,U.S. Aluminum Index,108.63,+0.38%,+7.32%,+3.11%,-6.26%,24% Buy,08/25/25,INDEX,No,9,$DSAL,U.S. Aluminum Index,108.63,0.0037885788209203,0.0732,0.0311,-0.0626,24,1756156027,INDEX,False,9
$DSRA,U.S. Apparel Retailers Index,"1,796.30",-0.50%,+1.59%,+6.40%,+7.25%,88% Buy,08/25/25,INDEX,No,9,$DSRA,U.S. Apparel Retailers Index,1796.3,-0.004957762082814,0.0159,0.064,0.0725,88,1756156027,INDEX,False,9
$DSAG,U.S. Asset Managers Index,406.76,-0.83%,+0.01%,-1.93%,+25.25%,64% Buy,08/25/25,INDEX,No,9,$DSAG,U.S. Asset Managers Index,406.76,-0.0083136260574884,0.0001,-0.0193,0.2525,64,1756156027,INDEX,False,9
$DSAT,U.S. Auto Parts Index,431.23,+0.14%,+3.33%,+8.04%,+5.29%,100% Buy,08/25/25,INDEX,No,9,$DSAT,U.S. Auto Parts Index,431.23,0.0013700538733049,0.0333,0.0804,0.0529,100,1756156027,INDEX,False,9
$DSAU,U.S. Automobiles Index,"1,197.38",+1.74%,+3.42%,+9.08%,+49.00%,56% Buy,08/25/25,INDEX,No,9,$DSAU,U.S. Automobiles Index,1197.38,0.017393003713113,0.0342,0.0908,0.49,56,1756156027,INDEX,False,9
