symbol,symbolName,lastPrice,percentChange,percentChange5d,percentChange1m,percentChange1y,opinion,tradeTime,symbolCode,hasOptions,symbolType,raw.symbol,raw.symbolName,raw.lastPrice,raw.percentChange,raw.percentChange5d,raw.percentChange1m,raw.percentChange1y,raw.opinion,raw.tradeTime,raw.symbolCode,raw.hasOptions,raw.symbolType
$DUSA,Dow Jones U.S. Index,"1,585.52",+0.36%,+2.22%,+1.83%,+16.71%,100% Buy,08/28/25,INDEX,No,9,$DUSA,Dow Jones U.S. Index,1585.52,0.003576243614981,0.0222,0.0183,0.1671,100,1756416117,INDEX,False,9
$DUSL,U.S. Large-Cap Index,"1,463.29",+0.36%,+2.17%,+2.14%,+17.46%,100% Buy,08/28/25,INDEX,No,9,$DUSL,U.S. Large-Cap Index,1463.29,0.0036489090996385,0.0217,0.0214,0.1746,100,1756416117,INDEX,False,9
$DUSM,U.S. Mid-Cap Index,"2,075.17",+0.35%,+2.07%,+0.66%,+16.52%,100% Buy,08/28/25,INDEX,No,9,$DUSM,U.S. Mid-Cap Index,2075.17,0.0034525611330589,0.0207,0.0066,0.1652,100,1756416117,INDEX,False,9
$DUSS,U.S. Small-Cap Index,"1,753.03",+0.32%,+2.89%,+1.86%,+11.64%,88% Buy,08/28/25,INDEX,No,9,$DUSS,U.S. Small-Cap Index,1753.03,0.0032448951561213,0.0289,0.0186,0.1164,88,1756416117,INDEX,False,9
$DSLW,U.S. Low-Cap Index,"1,954.72",+0.34%,+2.34%,+1.06%,+14.85%,100% Buy,08/28/25,INDEX,No,9,$DSLW,U.S. Low-Cap Index,1954.72,0.0033827311319059,0.0234,0.0106,0.1485,100,1756416117,INDEX,False,9
$DSTP,U.S. Top-Cap Index,"1,599.60",+0.36%,+2.15%,+1.83%,+17.26%,100% Buy,08/28/25,INDEX,No,9,$DSTP,U.S. Top-Cap Index,1599.6,0.0036076167769865,0.0215,0.0183,0.1726,100,1756416117,INDEX,False,9
$DSBM,U.S. Basic Materials Index,598.46,-0.09%,+2.00%,+2.66%,+0.87%,100% Buy,08/28/25,INDEX,No,9,$DSBM,U.S. Basic Materials Index,598.46,-0.00086814250893182,0.02,0.0266,0.0087,100,1756416117,INDEX,False,9
$DSNC,U.S. Consumer Goods Index,983.04,-0.51%,+1.38%,+2.97%,+10.48%,88% Buy,08/28/25,INDEX,No,9,$DSNC,U.S. Consumer Goods Index,983.04,-0.0050806631176244,0.0138,0.0297,0.1048,88,1756416117,INDEX,False,9
$DSCY,U.S. Consumer Services Index,"2,094.02",+0.38%,+1.90%,+1.38%,+24.54%,100% Buy,08/28/25,INDEX,No,9,$DSCY,U.S. Consumer Services Index,2094.02,0.00380137002718,0.019,0.0138,0.2454,100,1756416117,INDEX,False,9
$DSFN,U.S. Financials Index,"1,132.65",+0.08%,+2.06%,+1.52%,+18.28%,100% Buy,08/28/25,INDEX,No,9,$DSFN,U.S. Financials Index,1132.65,0.00083944508261911,0.0206,0.0152,0.1828,100,1756416117,INDEX,False,9
$DSHC,U.S. Health Care Index,"1,451.02",-0.44%,-0.41%,+1.32%,-11.74%,8% Buy,08/28/25,INDEX,No,9,$DSHC,U.S. Health Care Index,1451.02,-0.0043776588445177,-0.0041,0.0132,-0.1174,8,1756416117,INDEX,False,9
$DSIN,U.S. Industrials Index,"1,422.35",+0.20%,+2.04%,-0.77%,+15.19%,100% Buy,08/28/25,INDEX,No,9,$DSIN,U.S. Industrials Index,1422.35,0.0020289262893896,0.0204,-0.0077,0.1519,100,1756416117,INDEX,False,9
$DSTL,U.S. Telecommunications Index,192.64,-0.51%,-2.21%,+4.47%,+24.03%,100% Buy,08/28/25,INDEX,No,9,$DSTL,U.S. Telecommunications Index,192.64,-0.005061460592914,-0.0221,0.0447,0.2403,100,1756416117,INDEX,False,9
$DSUT,U.S. Utilities Index,420.04,-0.83%,-1.02%,+0.91%,+12.97%,80% Buy,08/28/25,INDEX,No,9,$DSUT,U.S. Utilities Index,420.04,-0.0082636822968315,-0.0102,0.0091,0.1297,80,1756416117,INDEX,False,9
$DSAP,U.S. Automobiles & Parts Index,"1,326.23",-0.95%,+7.42%,+6.38%,+52.88%,72% Buy,08/28/25,INDEX,No,9,$DSAP,U.S. Automobiles & Parts Index,1326.23,-0.0094555938127853,0.0742,0.0638,0.5288,72,1756416117,INDEX,False,9
