symbol,symbolName,lastPrice,percentChange,percentChange5d,percentChange1m,percentChange1y,opinion,tradeTime,symbolCode,hasOptions,symbolType,raw.symbol,raw.symbolName,raw.lastPrice,raw.percentChange,raw.percentChange5d,raw.percentChange1m,raw.percentChange1y,raw.opinion,raw.tradeTime,raw.symbolCode,raw.hasOptions,raw.symbolType
$DUSA,Dow Jones U.S. Index,"1,575.73",+0.43%,+0.96%,+1.22%,+15.43%,100% Buy,08/26/25,INDEX,No,9,$DUSA,Dow Jones U.S. Index,1575.73,0.0043,0.0096,0.0122,0.1543,100,1756242660,INDEX,False,9
$DUSL,U.S. Large-Cap Index,"1,454.61",+0.45%,+0.84%,+1.72%,+16.19%,100% Buy,08/26/25,INDEX,No,9,$DUSL,U.S. Large-Cap Index,1454.61,0.0045,0.0084,0.0172,0.1619,100,1756242660,INDEX,False,9
$DUSM,U.S. Mid-Cap Index,"2,061.27",+0.38%,+1.04%,-0.51%,+15.36%,100% Buy,08/26/25,INDEX,No,9,$DUSM,U.S. Mid-Cap Index,2061.27,0.0038,0.0104,-0.0051,0.1536,100,1756242660,INDEX,False,9
$DUSS,U.S. Small-Cap Index,"1,740.84",+0.33%,+1.70%,+0.86%,+9.93%,88% Buy,08/26/25,INDEX,No,9,$DUSS,U.S. Small-Cap Index,1740.84,0.0033,0.017,0.0086,0.0993,88,1756242660,INDEX,False,9
$DSLW,U.S. Low-Cap Index,"1,941.46",+0.37%,+1.26%,-0.05%,+13.50%,100% Buy,08/26/25,INDEX,No,9,$DSLW,U.S. Low-Cap Index,1941.46,0.0037,0.0126,-0.0005,0.135,100,1756242660,INDEX,False,9
$DSTP,U.S. Top-Cap Index,"1,589.86",+0.44%,+0.88%,+1.26%,+16.02%,100% Buy,08/26/25,INDEX,No,9,$DSTP,U.S. Top-Cap Index,1589.86,0.0044,0.0088,0.0126,0.1602,100,1756242660,INDEX,False,9
$DSBM,U.S. Basic Materials Index,597.36,+0.53%,+2.41%,+0.94%,+0.24%,88% Buy,08/26/25,INDEX,No,9,$DSBM,U.S. Basic Materials Index,597.36,0.0053,0.0241,0.0094,0.0024,88,1756242660,INDEX,False,9
$DSNC,U.S. Consumer Goods Index,988.85,+0.07%,+1.20%,+3.74%,+10.08%,88% Buy,08/26/25,INDEX,No,9,$DSNC,U.S. Consumer Goods Index,988.85,0.0007,0.012,0.0374,0.1008,88,1756242660,INDEX,False,9
$DSCY,U.S. Consumer Services Index,"2,081.87",+0.22%,-0.12%,+0.78%,+22.59%,100% Buy,08/26/25,INDEX,No,9,$DSCY,U.S. Consumer Services Index,2081.87,0.0022,-0.0012,0.0078,0.2259,100,1756242660,INDEX,False,9
$DSFN,U.S. Financials Index,"1,129.50",+0.61%,+1.94%,+0.46%,+18.64%,100% Buy,08/26/25,INDEX,No,9,$DSFN,U.S. Financials Index,1129.5,0.0061,0.0194,0.0046,0.1864,100,1756242660,INDEX,False,9
