symbol,symbolName,lastPrice,percentChange,percentChange5d,percentChange1m,percentChange1y,opinion,tradeTime,symbolCode,hasOptions,symbolType,raw.symbol,raw.symbolName,raw.lastPrice,raw.percentChange,raw.percentChange5d,raw.percentChange1m,raw.percentChange1y,raw.opinion,raw.tradeTime,raw.symbolCode,raw.hasOptions,raw.symbolType
$DUSA,Dow Jones U.S. Index,"1,576.08",+1.61%,+0.39%,+2.49%,+16.51%,100% Buy,08/22/25,INDEX,No,9,$DUSA,Dow Jones U.S. Index,1576.08,0.0161046998904,0.0039,0.0249,0.1651,100,1755897164,INDEX,False,9
$DUSL,U.S. Large-Cap Index,"1,452.85",+1.44%,-0.05%,+2.84%,+16.95%,100% Buy,08/22/25,INDEX,No,9,$DUSL,U.S. Large-Cap Index,1452.85,0.014432543395383,-0.0005,0.0284,0.1695,100,1755897164,INDEX,False,9
$DUSM,U.S. Mid-Cap Index,"2,069.20",+1.77%,+1.26%,+1.39%,+17.05%,100% Buy,08/22/25,INDEX,No,9,$DUSM,U.S. Mid-Cap Index,2069.2,0.017741118374132,0.0126,0.0139,0.1705,100,1755897164,INDEX,False,9
$DUSS,U.S. Small-Cap Index,"1,747.95",+2.59%,+2.09%,+2.03%,+12.33%,88% Buy,08/22/25,INDEX,No,9,$DUSS,U.S. Small-Cap Index,1747.95,0.025876539152278,0.0209,0.0203,0.1233,88,1755897164,INDEX,False,9
$DSLW,U.S. Low-Cap Index,"1,949.08",+2.05%,+1.53%,+1.60%,+15.43%,88% Buy,08/22/25,INDEX,No,9,$DSLW,U.S. Low-Cap Index,1949.08,0.02045004764348,0.0153,0.016,0.1543,88,1755897164,INDEX,False,9
$DSTP,U.S. Top-Cap Index,"1,589.58",+1.51%,+0.22%,+2.54%,+16.97%,100% Buy,08/22/25,INDEX,No,9,$DSTP,U.S. Top-Cap Index,1589.58,0.015109328701338,0.0022,0.0254,0.1697,100,1755897164,INDEX,False,9
$DSBM,U.S. Basic Materials Index,597.73,+1.87%,+2.23%,+0.85%,+2.30%,88% Buy,08/22/25,INDEX,No,9,$DSBM,U.S. Basic Materials Index,597.73,0.018713250958671,0.0223,0.0085,0.023,88,1755897164,INDEX,False,9
$DSNC,U.S. Consumer Goods Index,991.74,+2.27%,+2.07%,+2.49%,+11.78%,88% Buy,08/22/25,INDEX,No,9,$DSNC,U.S. Consumer Goods Index,991.74,0.022728678972878,0.0207,0.0249,0.1178,88,1755897164,INDEX,False,9
$DSCY,U.S. Consumer Services Index,"2,090.61",+1.74%,+0.48%,+1.44%,+24.11%,100% Buy,08/22/25,INDEX,No,9,$DSCY,U.S. Consumer Services Index,2090.61,0.017363121858166,0.0048,0.0144,0.2411,100,1755897164,INDEX,False,9
$DSFN,U.S. Financials Index,"1,128.92",+1.72%,+2.17%,+1.67%,+20.26%,100% Buy,08/22/25,INDEX,No,9,$DSFN,U.S. Financials Index,1128.92,0.017191667267354,0.0217,0.0167,0.2026,100,1755897164,INDEX,False,9
