symbol,symbolName,lastPrice,percentChange,percentChange5d,percentChange1m,percentChange1y,opinion,tradeTime,symbolCode,hasOptions,symbolType,raw.symbol,raw.symbolName,raw.lastPrice,raw.percentChange,raw.percentChange5d,raw.percentChange1m,raw.percentChange1y,raw.opinion,raw.tradeTime,raw.symbolCode,raw.hasOptions,raw.symbolType
$DUSA,Dow Jones U.S. Index,"1,579.87",+0.26%,+1.48%,+1.48%,+15.58%,100% Buy,08/27/25,INDEX,No,9,$DUSA,Dow Jones U.S. Index,1579.87,0.0026273536709969,0.0148,0.0148,0.1558,100,1756329112,INDEX,False,9
$DUSL,U.S. Large-Cap Index,"1,457.97",+0.23%,+1.38%,+1.95%,+16.24%,100% Buy,08/27/25,INDEX,No,9,$DUSL,U.S. Large-Cap Index,1457.97,0.0023098974982986,0.0138,0.0195,0.1624,100,1756329112,INDEX,False,9
$DUSM,U.S. Mid-Cap Index,"2,068.03",+0.33%,+1.35%,-0.18%,+15.73%,100% Buy,08/27/25,INDEX,No,9,$DUSM,U.S. Mid-Cap Index,2068.03,0.0032795315509371,0.0135,-0.0018,0.1573,100,1756329112,INDEX,False,9
$DUSS,U.S. Small-Cap Index,"1,747.36",+0.37%,+2.45%,+1.23%,+10.53%,88% Buy,08/27/25,INDEX,No,9,$DUSS,U.S. Small-Cap Index,1747.36,0.0037453183520599,0.0245,0.0123,0.1053,88,1756329112,INDEX,False,9
$DSLW,U.S. Low-Cap Index,"1,948.13",+0.34%,+1.72%,+0.29%,+13.94%,100% Buy,08/27/25,INDEX,No,9,$DSLW,U.S. Low-Cap Index,1948.13,0.0034355588062592,0.0172,0.0029,0.1394,100,1756329112,INDEX,False,9
$DSTP,U.S. Top-Cap Index,"1,593.85",+0.25%,+1.38%,+1.51%,+16.13%,100% Buy,08/27/25,INDEX,No,9,$DSTP,U.S. Top-Cap Index,1593.85,0.0025096549381707,0.0138,0.0151,0.1613,100,1756329112,INDEX,False,9
$DSBM,U.S. Basic Materials Index,598.98,+0.27%,+2.24%,+1.21%,+0.36%,88% Buy,08/27/25,INDEX,No,9,$DSBM,U.S. Basic Materials Index,598.98,0.0027119325030133,0.0224,0.0121,0.0036,88,1756329112,INDEX,False,9
$DSNC,U.S. Consumer Goods Index,988.06,-0.08%,+1.38%,+3.66%,+10.39%,88% Buy,08/27/25,INDEX,No,9,$DSNC,U.S. Consumer Goods Index,988.06,-0.00079890782221781,0.0138,0.0366,0.1039,88,1756329112,INDEX,False,9
$DSCY,U.S. Consumer Services Index,"2,086.09",+0.20%,+0.63%,+0.98%,+22.89%,100% Buy,08/27/25,INDEX,No,9,$DSCY,U.S. Consumer Services Index,2086.09,0.0020270237815043,0.0063,0.0098,0.2289,100,1756329112,INDEX,False,9
$DSFN,U.S. Financials Index,"1,131.70",+0.19%,+1.68%,+0.65%,+18.40%,100% Buy,08/27/25,INDEX,No,9,$DSFN,U.S. Financials Index,1131.7,0.0019477644975653,0.0168,0.0065,0.184,100,1756329112,INDEX,False,9
